               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076965,              0.0845,                   0,             0.64731,             0.47551,             0.49513,             0.18491,            0.055672,            0.076503,                   0,            0.070037,           0.0033292,           0.0033292
                   1,            0.057463,            0.079406,                   0,             0.79254,             0.55813,             0.62203,             0.27916,            0.046586,            0.075075,                   0,            0.039378,           0.0060029,           0.0060029
                   2,            0.052327,            0.079335,                   0,             0.80565,              0.5533,             0.62683,             0.29007,            0.046711,            0.078653,                   0,           0.0080581,           0.0080167,           0.0080167
                   3,            0.048586,            0.078805,                   0,             0.82214,             0.60313,             0.67184,             0.32467,            0.042341,            0.073203,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.045892,            0.076149,                   0,             0.82901,             0.61429,             0.68557,             0.33124,            0.041679,            0.072064,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.044151,            0.075669,                   0,             0.84822,             0.63063,             0.70606,             0.35333,            0.040087,            0.070013,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.042743,             0.07444,                   0,             0.84768,             0.62604,              0.7027,             0.34929,            0.039829,            0.069678,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.041929,            0.072589,                   0,             0.85663,             0.63229,             0.71094,             0.36319,            0.039097,            0.068849,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.041516,            0.074445,                   0,             0.85794,             0.64283,             0.72045,             0.36772,            0.038835,            0.068152,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.040488,            0.070592,                   0,              0.8609,             0.65074,             0.72855,             0.37516,            0.038306,            0.067624,                   0,             0.00208,             0.00208,             0.00208
